Location,Month,Day,Year,Avg Temp (F),Precipitation (in)
"Austin, TX",April,1,2020,62.3,0
"Austin, TX",April,2,2020,66,0
"Austin, TX",April,3,2020,65.1,0
"Austin, TX",April,4,2020,48.7,2.36
"Austin, TX",April,5,2020,59.3,0.36
"Austin, TX",April,6,2020,68.7,0
"Austin, TX",April,7,2020,74.9,0
"Austin, TX",April,8,2020,78.5,0
"Austin, TX",April,9,2020,74.5,0
"Austin, TX",April,10,2020,67.6,0.23
"Austin, TX",April,11,2020,69.4,0
"Austin, TX",April,12,2020,75.9,0.01
"Austin, TX",April,13,2020,54.7,0
"Austin, TX",April,14,2020,54.8,0
"Austin, TX",April,15,2020,54.7,0
"Austin, TX",April,16,2020,61.6,0
"Austin, TX",April,17,2020,64.6,0
"Austin, TX",April,18,2020,58.5,0.05
"Austin, TX",April,19,2020,68.2,0.02
"Austin, TX",April,20,2020,68.6,0.04
"Austin, TX",April,21,2020,73.4,0
"Austin, TX",April,22,2020,74.4,0
"Austin, TX",April,23,2020,72,0.03
"Austin, TX",April,24,2020,76.6,0
"Austin, TX",April,25,2020,68.4,0
"Austin, TX",April,26,2020,68.7,0
"Austin, TX",April,27,2020,73,0
"Austin, TX",April,28,2020,80.3,0
"Austin, TX",April,29,2020,72.2,0.95
"Austin, TX",April,30,2020,68.5,0
"Austin, TX",May,1,2020,71.4,0
"Austin, TX",May,2,2020,75.9,0
"Austin, TX",May,3,2020,79.7,0
"Austin, TX",May,4,2020,80,0
"Austin, TX",May,5,2020,76.1,0
"Austin, TX",May,6,2020,72.9,0
"Austin, TX",May,7,2020,70.8,0
"Austin, TX",May,8,2020,76.1,0
"Austin, TX",May,9,2020,67.8,0
"Austin, TX",May,10,2020,65.7,0
"Austin, TX",May,11,2020,71,0
"Austin, TX",May,12,2020,69,0.02
"Austin, TX",May,13,2020,73.2,2.71
"Austin, TX",May,14,2020,78.7,0.01
"Austin, TX",May,15,2020,77.9,0
"Austin, TX",May,16,2020,70.4,1.77
"Austin, TX",May,17,2020,75.5,0
"Austin, TX",May,18,2020,78,0
"Austin, TX",May,19,2020,81,0
"Austin, TX",May,20,2020,82.1,0
"Austin, TX",May,21,2020,80.9,0
"Austin, TX",May,22,2020,82.5,0
"Austin, TX",May,23,2020,83.6,0
"Austin, TX",May,24,2020,78.1,0.01
"Austin, TX",May,25,2020,71,3.21
"Austin, TX",May,26,2020,73.3,0.56
"Austin, TX",May,27,2020,73.3,0
"Austin, TX",May,28,2020,75,0.61
"Austin, TX",May,29,2020,77,0
"Austin, TX",May,30,2020,75.7,0
"Austin, TX",May,31,2020,77.3,0
"Austin, TX",June,1,2020,76.8,0.04
"Austin, TX",June,2,2020,77.5,0
"Austin, TX",June,3,2020,79.2,0
"Austin, TX",June,4,2020,80.5,0
"Austin, TX",June,5,2020,82.2,0
"Austin, TX",June,6,2020,84,0
"Austin, TX",June,7,2020,84.2,0
"Austin, TX",June,8,2020,85.7,0
"Austin, TX",June,9,2020,84.4,0
"Austin, TX",June,10,2020,79.3,0
"Austin, TX",June,11,2020,76.9,0
"Austin, TX",June,12,2020,76.3,0
"Austin, TX",June,13,2020,79,0
"Austin, TX",June,14,2020,79,0
"Austin, TX",June,15,2020,80.1,0
"Austin, TX",June,16,2020,81.2,0
"Austin, TX",June,17,2020,80,0
"Austin, TX",June,18,2020,80.1,0
"Austin, TX",June,19,2020,82.7,0
"Austin, TX",June,20,2020,79,0.13
"Austin, TX",June,21,2020,83.9,0.4
"Austin, TX",June,22,2020,83.5,0
"Austin, TX",June,23,2020,79,0.02
"Austin, TX",June,24,2020,77.9,1.08
"Austin, TX",June,25,2020,81,0.01
"Austin, TX",June,26,2020,76.8,0
"Austin, TX",June,27,2020,82.3,0.66
"Austin, TX",June,28,2020,81.2,0
"Austin, TX",June,29,2020,83.2,0.19
"Austin, TX",June,30,2020,83.7,0
