Month,Date,Day of The Week,Price,Quantity Sold
May,1,Friday,$2.00,75
May,2,Saturday,$2.50,39
May,3,Sunday,$2.50,87
May,4,Monday,$2.50,70
May,5,Tuesday,$2.50,85
May,6,Wednesday,$2.50,58
May,7,Thursday,$2.50,52
May,8,Friday,$2.00,85
May,9,Saturday,$2.50,54
May,10,Sunday,$2.50,60
May,11,Monday,$2.50,49
May,12,Tuesday,$2.50,52
May,13,Wednesday,$2.50,41
May,14,Thursday,$2.50,75
May,15,Friday,$2.00,62
May,16,Saturday,$2.50,37
May,17,Sunday,$2.50,81
May,18,Monday,$2.50,72
May,19,Tuesday,$2.50,63
May,20,Wednesday,$2.50,79
May,21,Thursday,$2.50,81
May,22,Friday,$2.00,106
May,23,Saturday,$2.50,64
May,24,Sunday,$2.50,58
May,25,Monday,$2.50,29
May,26,Tuesday,$2.50,31
May,27,Wednesday,$2.50,68
May,28,Thursday,$2.50,61
May,29,Friday,$2.00,95
May,30,Saturday,$2.50,72
May,31,Sunday,$2.50,80
